Date,NOx_1,NOx_2,PM2.5_1,PM10_1,PM10_2
2020-11-23,No data,59,No data,No data,16
2020-11-24,No data,23,No data,No data,15
2020-11-25,No data,39,No data,No data,19
2020-11-26,No data,55,No data,No data,21
2020-11-27,No data,41,No data,No data,18
2020-11-28,No data,38,No data,No data,34
2020-11-29,No data,50,No data,No data,31
2020-11-30,No data,49,No data,No data,21
2020-12-01,No data,46,No data,No data,17
2020-12-02,No data,86,No data,No data,22
2020-12-03,No data,68,No data,No data,12
2020-12-04,No data,52,No data,No data,13
2020-12-05,No data,14,No data,No data,No data
2020-12-06,No data,48,No data,No data,No data
2020-12-07,No data,81,No data,No data,No data
2020-12-08,No data,98,No data,No data,18
2020-12-09,No data,61,No data,No data,18
2020-12-10,No data,29,No data,No data,13
2020-12-11,No data,99,No data,No data,19
2020-12-12,No data,49,No data,No data,19
2020-12-13,No data,22,No data,No data,14
2020-12-14,No data,35,No data,No data,22
2020-12-15,No data,44,No data,No data,18
2020-12-16,No data,33,No data,No data,17
2020-12-17,No data,53,No data,No data,17
2020-12-18,No data,21,No data,No data,19
2020-12-19,No data,27,No data,No data,24
2020-12-20,No data,25,No data,No data,15
2020-12-21,No data,16,No data,No data,10
2020-12-22,No data,44,No data,No data,13
2020-12-23,No data,23,No data,No data,10
2020-12-24,No data,17,No data,No data,9
2020-12-25,No data,19,No data,No data,12
2020-12-26,No data,11,No data,No data,10
2020-12-27,No data,24,No data,No data,16
2020-12-28,No data,26,No data,No data,9
2020-12-29,No data,35,No data,No data,14
2020-12-30,No data,65,No data,No data,19
2020-12-31,No data,36,No data,No data,17
2021-01-01,No data,28,No data,No data,19
2021-01-02,No data,33,No data,No data,10
2021-01-03,No data,21,No data,No data,11
2021-01-04,No data,26,No data,No data,10
2021-01-05,No data,21,No data,No data,8
2021-01-06,No data,45,No data,No data,11
2021-01-07,No data,53,No data,No data,20
2021-01-08,No data,84,No data,No data,26
2021-01-09,No data,37,No data,No data,15
2021-01-10,No data,48,No data,No data,23
2021-01-11,No data,29,No data,No data,9
2021-01-12,No data,36,No data,No data,9
2021-01-13,No data,35,No data,No data,9
2021-01-14,No data,32,No data,No data,6
2021-01-15,No data,38,No data,No data,18
2021-01-16,No data,20,No data,No data,13
2021-01-17,No data,28,No data,No data,18
2021-01-18,No data,40,No data,No data,13
2021-01-19,No data,16,No data,No data,11
2021-01-20,No data,12,No data,No data,18
2021-01-21,No data,33,No data,No data,14
2021-01-22,No data,46,No data,No data,10
2021-01-23,No data,45,No data,No data,14
2021-01-24,No data,31,No data,No data,11
2021-01-25,No data,50,No data,No data,21
2021-01-26,No data,38,No data,No data,14
2021-01-27,No data,56,No data,No data,9
2021-01-28,No data,26,No data,No data,11
2021-01-29,No data,27,No data,No data,22
2021-01-30,No data,13,No data,No data,10
2021-01-31,No data,17,No data,No data,17
2021-02-01,No data,48,No data,No data,17
2021-02-02,No data,26,No data,No data,33
2021-02-03,No data,56,No data,No data,20
2021-02-04,No data,34,No data,No data,15
2021-02-05,No data,59,No data,No data,12
2021-02-06,No data,67,No data,No data,12
2021-02-07,No data,16,No data,No data,18
2021-02-08,No data,24,No data,No data,15
2021-02-09,No data,12,No data,No data,No data
2021-02-10,No data,26,No data,No data,No data
2021-02-11,No data,19,No data,No data,No data
2021-02-12,No data,17,No data,No data,No data
