Date,NOx_1,NOx_2,PM10_1,PM10_2,PM2.5_1,PM2.5_2
2020-10-27,39,57,10,14,5,6
2020-10-28,30,25,10,14,5,6
2020-10-29,43,56,10,14,5,7
2020-10-30,63,67,9,18,6,10
2020-10-31,26,30,11,17,7,9
2020-11-01,14,15,12,17,7,7
2020-11-02,22,20,6,12,3,5
2020-11-03,40,42,9,15,4,6
2020-11-04,67,92,18,35,11,17
2020-11-05,40,51,25,35,19,22
2020-11-06,83,118,77,72,67,62
2020-11-07,67,93,46,57,40,43
2020-11-08,67,94,38,40,35,37
2020-11-09,90,127,39,41,32,35
2020-11-10,66,94,23,30,16,18
2020-11-11,49,58,16,29,10,11
2020-11-12,31,32,10,17,4,6
2020-11-13,38,42,12,21,6,8
2020-11-14,29,39,13,19,8,9
2020-11-15,15,14,8,13,4,5
2020-11-16,31,29,11,17,6,6
2020-11-17,20,15,5,11,2,4
2020-11-18,20,15,10,15,5,6
2020-11-19,41,61,13,22,7,9
2020-11-20,70,78,15,22,9,12
2020-11-21,19,19,9,14,5,6
2020-11-22,29,37,13,20,7,8
2020-11-23,45,42,11,14,8,9
2020-11-24,28,35,11,15,7,7
2020-11-25,66,87,13,20,8,12
2020-11-26,88,120,22,26,17,18
2020-11-27,160,158,27,50,16,21
2020-11-28,90,99,33,34,28,27
2020-11-29,50,69,31,35,27,30
2020-11-30,27,35,11,14,7,8
2020-12-01,50,73,13,27,6,7
2020-12-02,57,74,18,24,10,11
2020-12-03,42,87,8,13,5,7
2020-12-04,46,70,5,8,4,5
2020-12-05,39,76,10,17,6,9
2020-12-06,34,61,9,12,7,8
2020-12-07,45,77,14,14,11,12
2020-12-08,66,84,11,12,8,10
2020-12-09,67,92,16,14,8,8
